Species	clade
Candida_albicans	CTG_clade
Candida_dubliniensis	CTG_clade
Candida_orthopsilosis	CTG_clade
Candida_parapsilosis	CTG_clade
Candida_tanzawaensis	CTG_clade
Candida_tenuis	CTG_clade
Clavispora_lusitaniae	CTG_clade
Debaryomyces_hansenii	CTG_clade
Hyphopichia_burtonii	CTG_clade
Lodderomyces_elongisporus	CTG_clade
Metschnikowia_bicuspidata	CTG_clade
Meyerozyma_guilliermondii	CTG_clade
Scheffersomyces_stipitis	CTG_clade
Spathaspora_arborariae	CTG_clade
Spathaspora_passalidarum	CTG_clade
Candida_auris	CTG_clade
Candida_maltosa	CTG_clade
Metschnikowia_fructicola	CTG_clade
Candida_sojae	CTG_clade
Candida_tropicalis	CTG_clade
Meyerozyma_caribbica	CTG_clade
